name,price,brand,prod_url,img_url
DC Travis Rice 2021,"449,95",DC,/de-DE/product/DC-Travis+Rice+2021+Snowboardboots-614778/,//images.blue-tomato.com/is/image/bluetomato/304375119_front.jpg-7snjtCT9pRww86-oEUyC5RueehE/Jones+Snowboards+Mountain+Twin+168W+Snowboard+2021.jpg?$b1$
Union Atlas 2021,"299,95",Union,/de-DE/product/Union-Atlas+2021+Snowboardbindung-618605/?colid=mustard+yellow,//images.blue-tomato.com/is/image/bluetomato/304358716_front.jpg-WQfH8RmsJ6CppXXGVGTDkZFGkz8/Ride+Hera+2021+Snowboardboots.jpg?$b1$
Burton Photon Step On 2021,"409,95",Burton,/de-DE/product/Burton-Photon+Step+On+2021-567091/,//images.blue-tomato.com/is/image/bluetomato/304272300_front.jpg-1WSjbOaV1ZURr7MskOtbsCaLVjo/DEELUXE+Team+ID+LTD+PF+2021+Snowboardboots.jpg?$b1$
Giro Ledge MIPS Helmet,"99,95",Giro,/de-DE/product/Giro-Ledge+MIPS+Helm-628961/,//images.blue-tomato.com/is/image/bluetomato/303920013_front.jpg-2WJVOocZjyJm_Qx6Ebn8nq7JTPw/Burton+Limelight+2020+Snowboardboots.jpg?$b1$
Union Force 2021,"249,95",Union,/de-DE/product/Union-Force+2021+Snowboardbindung-618606/,//images.blue-tomato.com/is/image/bluetomato/303921586_front.jpg-vfARR5TsYsbsfqCW-kBSolQ0Ny0/Burton+Photon+BOA+Snowboard+Boots.jpg?$b1$
Burton Step On 2021,"279,95",Burton,/de-DE/product/Burton-Step+On+2020+Snowboardbindung-623028/?colid=black,//images.blue-tomato.com/is/image/bluetomato/304374450_front.jpg-37aiMxiTJFni9IlHCxP1vOooCSc/Giro+Ledge+Helm.jpg?$b1$
Burton Ion Boa 2021,"449,95",Burton,/de-DE/product/Burton-Ion+Boa+2021+Snowboardboots-622767/,//images.blue-tomato.com/is/image/bluetomato/303513820_front.jpg-qaxMA2uhmLOyP343FhxEOUwbot0/Burton+Moto+Snowboard+Boots.jpg?$b1$
Ride Hera 2021,"289,95",Ride,/de-DE/product/Ride-Hera+2021+Snowboardboots-624731/,//images.blue-tomato.com/is/image/bluetomato/304375892_front.jpg-9drCG025-FCCY8oEwrwezcVrjxw/Flow+Nexus+Snowboard+Bindung+2021.jpg?$b1$
Burton Limelight BOA Snowboard Boots,"289,95",Burton,/de-DE/product/Burton-Limelight+BOA+Snowboard+Boots-567044/,//images.blue-tomato.com/is/image/bluetomato/303923985_front.jpg-Eir4eAcvxqC8OGUjEjTIh1foBQo/Burton+Photon+BOA+Wide+2021+Snowboardboots.jpg?$b1$
Burton Limelight 2020,"339,95",Burton,/de-DE/product/Burton-Limelight+2020+Snowboardboots-566982/,//images.blue-tomato.com/is/image/bluetomato/304371982_front.jpg-l68JKNceYKSsn3HGqQ4jq4qGvks/Vans+Sam+Taxwood+Standard+MTE+Winterschuhe.jpg?$b1$
Burton Felix Boa Snowboard Boots,"79,95",Burton,/de-DE/product/Burton-Felix+Boa+Snowboard+Boots-522751/,//images.blue-tomato.com/is/image/bluetomato/304264956_front.jpg-aldVurR7AY_DADJDFH8TyM-gpug/DC+Phase+2021+Snowboardboots.jpg?$b1$
Giro Ledge Helmet,"229,95",Giro,/de-DE/product/Giro-Ledge+Helm-628962/,//images.blue-tomato.com/is/image/bluetomato/304300402_front.jpg-B5tVevRz81GmWV0U0bSuLsC4_gI/Union+Strata+2021+Snowboardbindung.jpg?$b1$
Ride Sage 2021,"169,95",Ride,/de-DE/product/Ride-Sage+2021+Snowboardboots-624732/,//images.blue-tomato.com/is/image/bluetomato/304342227_front.jpg-5pgiYlVj8ano7J53QTvUv_-50Q4/Burton+Mission+2021+Snowboardbindung.jpg?$b1$
Flow Nexus Snowboard Bindings 2021,"159,95",Flow,/de-DE/product/Flow-Nexus+Snowboard+Bindung+2021-629558/,//images.blue-tomato.com/is/image/bluetomato/304342268_front.jpg-jII2vP9tiVniI6miovxROVf0oH8/Burton+Cartel+X+2021+Snowboardbindung.jpg?$b1$
Union Flite Pro 2021,"184,95",Union,/de-DE/product/Union-Flite+Pro+2021+Snowboardbindung-618612/,//images.blue-tomato.com/is/image/bluetomato/304358382_front.jpg-yF5RJxU2KQoQFUSFD89tiP9Sm10/Ride+Lasso+Pro+2021+Snowboardboots.jpg?$b1$
Vans Sam Taxwood Standard MTE Shoes,"229,95",Vans,/de-DE/product/Vans-Sam+Taxwood+Standard+MTE+Winterschuhe-628301/,//images.blue-tomato.com/is/image/bluetomato/304300395_front.jpg-cJmxzKJKoATdUApRzsxAjImB4gw/Union+Falcor+2021+Snowboardbindung.jpg?$b1$
Vans Hi-Standard OG 2021,"279,95",Vans,/de-DE/product/Vans-Hi+Standard+OG+2021+Snowboardboots-587519/,//images.blue-tomato.com/is/image/bluetomato/304264860_front.jpg-KTUqV1osi9Z5xZl51-MaYxlFtqY/DC+Travis+Rice+2021+Snowboardboots.jpg?$b1$
Union Strata 2021,"249,95",Union,/de-DE/product/Union-Strata+2021+Snowboardbindung-618609/,//images.blue-tomato.com/is/image/bluetomato/304378353_front.jpg-8k0w0NpYQCwvY5BR5Pw7kYJuDHc/Salomon+Kiana+Dual+Boa+Snowboard+Boots+2021.jpg?$b1$
Burton Cartel 2021,"299,95",Burton,/de-DE/product/Burton-Cartel+2021+Snowboardbindung-622738/,//images.blue-tomato.com/is/image/bluetomato/304300370_front.jpg-1rLs04Xn5oEy5p2C1fUWtnU_w5M/Union+Atlas+2021+Snowboardbindung.jpg?$b1$
Burton Cartel X 2021,"309,95",Burton,/de-DE/product/Burton-Cartel+X+2021+Snowboardbindung-622750/,//images.blue-tomato.com/is/image/bluetomato/302301250_front.jpg-ZR46rJpf37m8F52FMZBFEu12YZ8/Smith+Holt+2+Helm.jpg?$b1$
DEELUXE Deemon PF 2021,"339,95",DEELUXE,/de-DE/product/DEELUXE-Deemon+PF+2021+Snowboardboots-615572/,//images.blue-tomato.com/is/image/bluetomato/303922473_front.jpg-IZiFmPwXprvFllSXv6shBLfqfJw/Burton+Photon+Step+On+2021.jpg?$b1$
Union Falcor 2021,"279,95",Union,/de-DE/product/Union-Falcor+2021+Snowboardbindung-618608/?colid=arctic+white,//images.blue-tomato.com/is/image/bluetomato/304375216_front.jpg-KOS6BhXMRchKBmopR9VCloAhNV4/Jones+Snowboards+Apollo+Snowboard+Bindung+2021.jpg?$b1$
Union Legacy 2021,"349,95",Union,/de-DE/product/Union-Legacy+2021+Snowboardbindung-618617/?colid=white+team+hb+,//images.blue-tomato.com/is/image/bluetomato/304374448_front.jpg-8yFfIOiYUFXK0o477XUmXzv6tR0/Giro+Ledge+MIPS+Helm.jpg?$b1$
Salomon Kiana Dual Boa Snowboard Boots 2021,"279,95",Salomon,/de-DE/product/Salomon-Kiana+Dual+Boa+Snowboard+Boots+2021-630672/,//images.blue-tomato.com/is/image/bluetomato/304375226_front.jpg-lH5RxWnuhNUhvnNssRbUE8apaks/Jones+Snowboards+Mercury+Snowboard+Bindung+2021.jpg?$b1$
Union Strata 2021,"59,95",Union,/de-DE/product/Union-Strata+2021+Snowboardbindung-618609/?colid=black,//images.blue-tomato.com/is/image/bluetomato/304300377_front.jpg-qhApz8xT1f2ZaV1NwjXl_x3g0P0/Union+Force+2021+Snowboardbindung.jpg?$b1$
